DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24390148001,0.0039,,,0.0001,,,,,,,0,0
24390148002,0.0116,,0.0109,0.0023,,,,,,,0,0
24390148003,0.0033,,,0.0,,,,,,,0,0
24390148005,0.0013,,,,,,,,,,0,0
24390148006,0.0048,,,0.0001,,,,,,,0,0
24390148007,0.0015,,,0.0,,,,,,,0,0
24390149002,0.0071,,,0.0003,,,,,,,0,0
24390149006,0.0073,,,0.0003,,,,,,,0,0
24390149012,0.007,,,0.0026,,,,,,,0,0
24390149013,0.0053,,,0.0002,,,,,,,0,0
24390149014,0.0086,,,0.0033,,,,,,,0,0
24390149015,0.0095,,,0.0008,,,,,0.0162,,0,0
24390149016,0.0057,,,0.0003,,,,,,,0,0
24390149017,0.0057,,,0.0003,,,,,,,0,0
24390149018,0.0074,,,0.0004,,,,,,,0,0
24390149019,0.0073,,,0.0003,,,,,,,0,0
24390150004,0.011,,,0.0004,,,,,0.0298,,0,0
24390150005,0.0081,,,0.0003,,,,,,,0,0
24390150006,0.0078,,,0.0003,,,,,,,0,0
24390150007,0.0101,,,0.0008,,,,,0.0192,,0,0
24390150008,0.0084,,,0.0011,,,,,0.0213,,0,0
24390150009,0.0067,,,0.0007,,,,,0.0207,,0,0
24390150011,0.0083,,,0.0003,,,,,,,0,0
24390150012,0.0092,,,0.0007,,,,,,,0,0
24390150013,0.0079,,,0.0013,,,,,,,0,0
24390151013,0.0097,,,0.0005,,,,,0.0209,,0,0
24390151014,0.0087,,,0.0006,,,,,0.0619,,0,0
24390151015,0.0103,,,0.0005,,,,,0.0128,,0,0
24390151017,0.0067,,,0.0006,,,,,0.0167,,0,0
24390151018,0.0067,,,0.0006,,,,,0.017,,0,0
24390151020,0.0099,,,0.0004,,,,,,,0,0
24390151022,0.0103,,,0.0006,,,,,,,0,0
24390151023,0.0085,,,0.0002,,,,,,,0,0
24390151024,0.0101,,,0.0006,,,,,,,0,0
24390205001,0.0028,,,0.0001,,,,,,,0,0
24390205005,0.0014,,,0.0,,,,,,,0,0
24390205006,0.0006,,,0.0,,,,,,,0,0
24390205007,0.0006,,,,,,,,,,0,0
24390205008,0.0033,,,0.0,,,,,,,0,0
24390205009,0.0065,,,0.0002,,,,,,,0,0
24390205010,0.0068,,,0.0002,,,,,,,0,0
24390205012,0.0065,,,,,,,,,,0,0
24390205015,0.0063,,,0.0002,,,,,,,0,0
24390205016,0.0013,,,0.0,0.0164,,,,,,0,0
